,operating_airline,operating_airline_iata_code,published_airline,published_airline_iata_code,geo_summary,geo_region,landing_aircraft_type,aircraft_body_type,aircraft_manufacturer,aircraft_model,landing_count,total_landed_weight,year,month
206,Icelandair EHF,FI,Icelandair EHF,FI,International,Europe,Passenger,Wide Body,Boeing,B763,18,5760000,2018,8
207,American Airlines,AA,American Airlines,AA,Domestic,US,Passenger,Wide Body,Boeing,B777,1,460000,2018,8
208,Hawaiian Airlines,HA,Hawaiian Airlines,HA,Domestic,US,Passenger,Wide Body,Airbus,A332,58,23271978,2018,8
209,All Nippon Airways,NH,All Nippon Airways,NH,International,Asia,Passenger,Wide Body,Boeing,B773,31,17174000,2018,8
210,China Airlines,CI,China Airlines,CI,International,Asia,Freighter,Wide Body,Boeing,B744,27,17982000,2018,8
211,Aer Lingus,EI,Aer Lingus,EI,International,Europe,Passenger,Wide Body,Airbus,A332,7,2795460,2018,8
212,Cathay Pacific,CX,Cathay Pacific,CX,International,Asia,Passenger,Wide Body,Airbus,A359,31,14147067,2018,8
213,Singapore Airlines,SQ,Singapore Airlines,SQ,International,Asia,Passenger,Wide Body,Airbus,A359,31,14147067,2018,8
214,United Airlines,UA,United Airlines,UA,Domestic,US,Passenger,Narrow Body,Boeing,B753,448,100352000,2018,8
215,United Airlines,UA,United Airlines,UA,International,Canada,Passenger,Narrow Body,Boeing,B739,45,7068500,2018,8
216,Delta Air Lines,DL,Delta Air Lines,DL,Domestic,US,Passenger,Wide Body,Boeing,B763,33,10560000,2018,8
217,Air Canada,AC,Air Canada,AC,International,Canada,Passenger,Wide Body,Boeing,B773,3,1662000,2018,8
218,United Airlines,UA,United Airlines,UA,International,Mexico,Passenger,Narrow Body,Boeing,B738,54,7900200,2018,8
219,Swiss International,LX,Swiss International,LX,International,Europe,Passenger,Wide Body,Boeing,B773,31,17174000,2018,8
220,United Airlines,UA,United Airlines,UA,International,Canada,Passenger,Narrow Body,Airbus,A319,9,1240101,2018,8
221,Air New Zealand,NZ,Air New Zealand,NZ,International,Australia / Oceania,Passenger,Wide Body,Boeing,B773,30,16620000,2018,8
222,United Airlines,UA,United Airlines,UA,Domestic,US,Passenger,Wide Body,Boeing,B788,23,8740000,2018,8
223,Korean Air Lines,KE,Korean Air Lines,KE,International,Asia,Freighter,Wide Body,Boeing,B748,1,682000,2018,8
224,China Eastern,MU,China Eastern,MU,International,Asia,Passenger,Wide Body,Boeing,B773,31,17174000,2018,8
