,operating_airline,operating_airline_iata_code,published_airline,published_airline_iata_code,geo_summary,geo_region,landing_aircraft_type,aircraft_body_type,aircraft_manufacturer,aircraft_model,landing_count,total_landed_weight,year,month
10069,US Airways,US,US Airways,US,Domestic,US,Passenger,Narrow Body,Airbus,A319,7,963900,2013,1
10070,US Airways,US,US Airways,US,Domestic,US,Passenger,Narrow Body,Boeing,757,1,198000,2013,1
10071,Alaska Airlines,AS,Alaska Airlines,AS,Domestic,US,Passenger,Narrow Body,Boeing,737,211,25531000,2013,1
10072,AirTran Airways,FL,AirTran Airways,FL,Domestic,US,Passenger,Narrow Body,Boeing,737,65,8320000,2013,1
10073,Air New Zealand,NZ,Air New Zealand,NZ,International,Australia / Oceania,Passenger,Wide Body,Boeing,777,1,470000,2013,1
10074,US Airways,US,US Airways,US,Domestic,US,Passenger,Narrow Body,Airbus,A321,203,34814500,2013,1
10075,Air New Zealand,NZ,Air New Zealand,NZ,International,Australia / Oceania,Passenger,Wide Body,Boeing,747,30,18900000,2013,1
10076,Emirates,EK,Emirates,EK,International,Middle East,Passenger,Wide Body,Boeing,777,31,17173969,2013,1
10077,US Airways,US,US Airways,US,Domestic,US,Passenger,Narrow Body,Airbus,A320,2,284400,2013,1
10078,Air France,AF,Air France,AF,International,Europe,Passenger,Wide Body,Boeing,777,26,11962600,2013,1
10079,Air China,CA,Air China,CA,International,Asia,Passenger,Wide Body,Boeing,747,2,1260000,2013,1
10080,Air China,CA,Air China,CA,International,Asia,Combi,Wide Body,Boeing,747,29,18270000,2013,1
10081,Air Cargo Carriers,2Q,Air Cargo Carriers,2Q,Domestic,US,Freighter,Turbo Prop,Shorts,SD3,22,572000,2013,1
10082,Air Canada,AC,Air Canada,AC,International,Canada,Passenger,Regional Jet,Embraer,ERJ,79,7663000,2013,1
10083,Air Canada,AC,Air Canada,AC,International,Canada,Passenger,Narrow Body,Airbus,A320,7,995400,2013,1
10084,Air Canada,AC,Air Canada,AC,International,Canada,Passenger,Narrow Body,Airbus,A320,43,6114600,2013,1
10085,Air Canada,AC,Air Canada,AC,International,Canada,Passenger,Narrow Body,Airbus,A319,57,7666500,2013,1
10086,Aeromexico,AM,Aeromexico,AM,International,Mexico,Passenger,Narrow Body,Boeing,737,31,3968000,2013,1
10087,ABX Air,GB,ABX Air,GB,Domestic,US,Freighter,Wide Body,Boeing,767,1,326000,2013,1
10088,ABX Air,GB,ABX Air,GB,Domestic,US,Freighter,Wide Body,Boeing,767,19,5168000,2013,1
10089,US Airways,US,US Airways,US,Domestic,US,Passenger,Narrow Body,Airbus,A320,198,28135800,2013,1
10090,WestJet Airlines,WS,WestJet Airlines,WS,International,Canada,Passenger,Narrow Body,Boeing,737,1,146300,2013,1
10091,Virgin Atlantic,VS,Virgin Atlantic,VS,International,Europe,Passenger,Wide Body,Boeing,747,28,17640000,2013,1
10092,Virgin America,VX,Virgin America,VX,International,Mexico,Passenger,Narrow Body,Airbus,A320,47,6683306,2013,1
10093,Virgin America,VX,Virgin America,VX,Domestic,US,Passenger,Narrow Body,Airbus,A320,928,132141629,2013,1
10094,Air New Zealand,NZ,Air New Zealand,NZ,International,Australia / Oceania,Passenger,Wide Body,Boeing,747,27,17010000,2012,12
10095,Air New Zealand,NZ,Air New Zealand,NZ,International,Australia / Oceania,Passenger,Wide Body,Boeing,777,3,1410000,2012,12
10096,AirTran Airways,FL,AirTran Airways,FL,Domestic,US,Passenger,Narrow Body,Boeing,737,85,10880000,2012,12
10097,Alaska Airlines,AS,Alaska Airlines,AS,Domestic,US,Passenger,Narrow Body,Boeing,737,234,28314000,2012,12
10098,Alaska Airlines,AS,Alaska Airlines,AS,International,Mexico,Passenger,Narrow Body,Boeing,737,46,5566000,2012,12
10099,Alaska Airlines,AS,Alaska Airlines,AS,Domestic,US,Passenger,Narrow Body,Boeing,737,69,8914800,2012,12
10100,Alaska Airlines,AS,Alaska Airlines,AS,International,Mexico,Passenger,Narrow Body,Boeing,737,1,129200,2012,12
10101,Alaska Airlines,AS,Alaska Airlines,AS,International,Mexico,Passenger,Narrow Body,Boeing,737,5,720000,2012,12
10102,Alaska Airlines,AS,Alaska Airlines,AS,Domestic,US,Passenger,Narrow Body,Boeing,737,8,1170400,2012,12
10103,Alaska Airlines,AS,Alaska Airlines,AS,International,Mexico,Passenger,Narrow Body,Boeing,737,8,1170400,2012,12
10104,All Nippon Airways,NH,All Nippon Airways,NH,International,Asia,Passenger,Wide Body,Boeing,777,31,17174000,2012,12
10105,American Airlines,AA,American Airlines,AA,Domestic,US,Passenger,Narrow Body,Boeing,737,609,87696000,2012,12
10106,American Airlines,AA,American Airlines,AA,Domestic,US,Passenger,Narrow Body,Boeing,757,99,19602000,2012,12
10107,Delta Air Lines,DL,Delta Air Lines,DL,Domestic,US,Passenger,Narrow Body,Boeing,737,134,19604200,2012,12
10108,American Airlines,AA,American Airlines,AA,Domestic,US,Passenger,Wide Body,Boeing,767,86,26660000,2012,12
10109,United Airlines - Pre 07/01/2013,UA,United Airlines - Pre 07/01/2013,UA,Domestic,US,Passenger,Narrow Body,Boeing,757,954,188892000,2012,12
10110,United Airlines - Pre 07/01/2013,UA,United Airlines - Pre 07/01/2013,UA,Domestic,US,Passenger,Wide Body,Boeing,767,7,2100000,2012,12
10111,Southwest Airlines,WN,Southwest Airlines,WN,Domestic,US,Passenger,Narrow Body,Boeing,737,992,126976000,2012,12
10112,United Airlines - Pre 07/01/2013,UA,United Airlines - Pre 07/01/2013,UA,Domestic,US,Passenger,Wide Body,Boeing,767,4,1280000,2012,12
10113,Southwest Airlines,WN,Southwest Airlines,WN,Domestic,US,Passenger,Narrow Body,Boeing,737,5,550000,2012,12
10114,Kalitta Air,K4,Kalitta Air,K4,Domestic,US,Freighter,Wide Body,Boeing,747,1,653000,2012,12
10115,KLM Royal Dutch Airlines,KL,KLM Royal Dutch Airlines,KL,International,Europe,Passenger,Wide Body,McDonnell Douglas,MD-11,23,10098794,2012,12
10116,JetBlue Airways,B6,JetBlue Airways,B6,Domestic,US,Passenger,Narrow Body,Airbus,A320,338,48063600,2012,12
10117,American Airlines,AA,American Airlines,AA,Domestic,US,Passenger,Wide Body,Boeing,767,82,22140000,2012,12
10118,Japan Airlines,JL,Japan Airlines,JL,International,Asia,Passenger,Wide Body,Boeing,777,31,14353000,2012,12
10119,Hawaiian Airlines,HA,Hawaiian Airlines,HA,Domestic,US,Passenger,Wide Body,Airbus,A330,30,12030000,2012,12
10120,Hawaiian Airlines,HA,Hawaiian Airlines,HA,Domestic,US,Passenger,Wide Body,Boeing,767,1,295000,2012,12
10121,Frontier Airlines,F9,Frontier Airlines,F9,Domestic,US,Passenger,Regional Jet,Embraer,ERJ,8,758400,2012,12
10122,Frontier Airlines,F9,Frontier Airlines,F9,Domestic,US,Passenger,Narrow Body,Airbus,A320,10,1421980,2012,12
10123,Frontier Airlines,F9,Frontier Airlines,F9,Domestic,US,Passenger,Narrow Body,Airbus,A319,103,13853500,2012,12
10124,Federal Express,FX,Federal Express,FX,Domestic,US,Freighter,Wide Body,Airbus,A310,1,267900,2012,12
10125,Federal Express,FX,Federal Express,FX,Domestic,US,Freighter,Wide Body,Airbus,A300,38,11721600,2012,12
10126,EVA Airways,BR,EVA Airways,BR,International,Asia,Passenger,Wide Body,Boeing,777,53,29362000,2012,12
10127,EVA Airways,BR,EVA Airways,BR,International,Asia,Freighter,Wide Body,Boeing,747,8,5216000,2012,12
10128,Delta Air Lines,DL,Delta Air Lines,DL,Domestic,US,Passenger,Narrow Body,McDonnell Douglas,MD-90,65,9230000,2012,12
10129,Delta Air Lines,DL,Delta Air Lines,DL,Domestic,US,Passenger,Wide Body,Airbus,A330,1,412600,2012,12
10130,Delta Air Lines,DL,Delta Air Lines,DL,Domestic,US,Passenger,Narrow Body,Airbus,A320,53,7536494,2012,12
10131,Delta Air Lines,DL,Delta Air Lines,DL,Domestic,US,Passenger,Narrow Body,Airbus,A319,10,1344810,2012,12
10132,Delta Air Lines,DL,Delta Air Lines,DL,International,Asia,Passenger,Wide Body,Boeing,767,23,7360000,2012,12
10133,Delta Air Lines,DL,Delta Air Lines,DL,Domestic,US,Passenger,Wide Body,Boeing,767,48,15360000,2012,12
10134,Delta Air Lines,DL,Delta Air Lines,DL,Domestic,US,Passenger,Wide Body,Boeing,767,22,6490000,2012,12
10135,Delta Air Lines,DL,Delta Air Lines,DL,Domestic,US,Passenger,Narrow Body,Boeing,757,332,65736000,2012,12
10136,Southwest Airlines,WN,Southwest Airlines,WN,Domestic,US,Passenger,Narrow Body,Boeing,737,271,30894000,2012,12
10137,Emirates,EK,Emirates,EK,International,Middle East,Passenger,Wide Body,Boeing,777,31,17173969,2012,12
10138,Virgin America,VX,Virgin America,VX,International,Mexico,Passenger,Narrow Body,Airbus,A319,15,2066805,2012,12
10139,Alaska Airlines,AS,Alaska Airlines,AS,Domestic,US,Passenger,Narrow Body,Boeing,737,16,2304000,2012,12
10140,United Airlines - Pre 07/01/2013,UA,United Airlines - Pre 07/01/2013,UA,International,Mexico,Passenger,Narrow Body,Airbus,A320,104,14788800,2012,12
10141,United Airlines - Pre 07/01/2013,UA,United Airlines - Pre 07/01/2013,UA,Domestic,US,Passenger,Narrow Body,Airbus,A320,616,87595200,2012,12
10142,United Airlines - Pre 07/01/2013,UA,United Airlines - Pre 07/01/2013,UA,International,Mexico,Passenger,Narrow Body,Airbus,A319,48,6609600,2012,12
10143,United Airlines - Pre 07/01/2013,UA,United Airlines - Pre 07/01/2013,UA,International,Canada,Passenger,Narrow Body,Airbus,A319,58,7986600,2012,12
10144,American Airlines,AA,American Airlines,AA,Domestic,US,Passenger,Wide Body,Boeing,777,1,460000,2012,12
10145,Virgin Atlantic,VS,Virgin Atlantic,VS,International,Europe,Passenger,Wide Body,Boeing,747,29,18270000,2012,12
10146,United Airlines - Pre 07/01/2013,UA,United Airlines - Pre 07/01/2013,UA,Domestic,US,Passenger,Narrow Body,Airbus,A319,462,63617400,2012,12
10147,Horizon Air,QX,Alaska Airlines,AS,Domestic,US,Passenger,Turbo Prop,DeHavilland,DH8,85,5248750,2012,12
10148,Ameriflight,A8,Ameriflight,A8,Domestic,US,Freighter,Turbo Prop,Beechcraft,B-99,3,32700,2012,12
10149,United Airlines - Pre 07/01/2013,UA,United Airlines - Pre 07/01/2013,UA,International,Asia,Passenger,Wide Body,Boeing,777,62,28520000,2012,12
10150,United Airlines - Pre 07/01/2013,UA,United Airlines - Pre 07/01/2013,UA,Domestic,US,Passenger,Wide Body,Boeing,777,33,15180000,2012,12
10151,United Airlines - Pre 07/01/2013,UA,United Airlines - Pre 07/01/2013,UA,International,Canada,Passenger,Narrow Body,Airbus,A320,62,8816400,2012,12
10152,United Airlines - Pre 07/01/2013,UA,United Airlines - Pre 07/01/2013,UA,International,Europe,Passenger,Wide Body,Boeing,747,59,37170000,2012,12
10153,United Airlines - Pre 07/01/2013,UA,United Airlines - Pre 07/01/2013,UA,International,Australia / Oceania,Passenger,Wide Body,Boeing,747,32,20160000,2012,12
10154,United Airlines - Pre 07/01/2013,UA,United Airlines - Pre 07/01/2013,UA,International,Asia,Passenger,Wide Body,Boeing,747,122,76860000,2012,12
10155,United Airlines - Pre 07/01/2013,UA,United Airlines - Pre 07/01/2013,UA,International,Mexico,Passenger,Narrow Body,Boeing,737,1,147300,2012,12
10156,United Airlines - Pre 07/01/2013,UA,United Airlines - Pre 07/01/2013,UA,International,Canada,Passenger,Narrow Body,Boeing,737,2,314600,2012,12
10157,United Airlines - Pre 07/01/2013,UA,United Airlines - Pre 07/01/2013,UA,International,Mexico,Passenger,Narrow Body,Boeing,737,24,3511200,2012,12
10158,United Airlines - Pre 07/01/2013,UA,United Airlines - Pre 07/01/2013,UA,International,Canada,Passenger,Narrow Body,Boeing,737,4,585200,2012,12
10159,United Airlines,UA,United Airlines,UA,Domestic,US,Passenger,Wide Body,Boeing,787,25,9497200,2012,12
10160,United Airlines,UA,United Airlines,UA,Domestic,US,Passenger,Wide Body,Boeing,777,4,1880000,2012,12
10161,Air France,AF,Air France,AF,International,Europe,Passenger,Wide Body,Boeing,777,30,13803000,2012,12
10162,United Airlines,UA,United Airlines,UA,Domestic,US,Passenger,Wide Body,Boeing,767,30,10500000,2012,12
10163,United Airlines,UA,United Airlines,UA,Domestic,US,Passenger,Wide Body,Boeing,767,7,2100000,2012,12
10164,United Airlines,UA,United Airlines,UA,Domestic,US,Passenger,Narrow Body,Boeing,757,150,33600000,2012,12
10165,United Airlines,UA,United Airlines,UA,Domestic,US,Passenger,Narrow Body,Boeing,757,79,15642000,2012,12
10166,United Airlines,UA,United Airlines,UA,Domestic,US,Passenger,Narrow Body,Boeing,737,383,60245900,2012,12
10167,United Airlines,UA,United Airlines,UA,Domestic,US,Passenger,Narrow Body,Boeing,737,73,10752900,2012,12
10168,United Airlines,UA,United Airlines,UA,Domestic,US,Passenger,Narrow Body,Boeing,737,749,109449900,2012,12
10169,United Airlines,UA,United Airlines,UA,Domestic,US,Passenger,Narrow Body,Boeing,737,76,9728000,2012,12
10170,TACA,TA,TACA,TA,International,Central America,Passenger,Narrow Body,Airbus,A320,46,6541200,2012,12
10171,TACA,TA,TACA,TA,International,Central America,Passenger,Narrow Body,Airbus,A319,14,1925000,2012,12
10172,Swiss International,LX,Swiss International,LX,International,Europe,Passenger,Wide Body,Airbus,A340,28,11728584,2012,12
10173,US Airways,US,US Airways,US,Domestic,US,Passenger,Narrow Body,Airbus,A321,232,39788000,2012,12
10174,Korean Air Lines,KE,Korean Air Lines,KE,International,Asia,Freighter,Wide Body,Boeing,747,25,19075000,2012,12
10175,Korean Air Lines,KE,Korean Air Lines,KE,International,Asia,Passenger,Wide Body,Boeing,777,31,14260000,2012,12
10176,US Airways,US,US Airways,US,Domestic,US,Passenger,Narrow Body,Airbus,A319,2,275600,2012,12
10177,Ameriflight,A8,Ameriflight,A8,Domestic,US,Freighter,Turbo Prop,Beechcraft,C-99,4,45200,2012,12
10178,Virgin America,VX,Virgin America,VX,International,Mexico,Passenger,Narrow Body,Airbus,A320,59,8392989,2012,12
10179,Southern Air,9S,Southern Air,9S,International,Asia,Freighter,Wide Body,Boeing,747,9,5868000,2012,12
10180,China Airlines,CI,China Airlines,CI,International,Asia,Freighter,Wide Body,Boeing,747,22,14652000,2012,12
10181,LAN Peru,LP,LAN Peru,LP,International,South America,Passenger,Wide Body,Boeing,767,17,5440000,2012,12
10182,"Atlas Air, Inc",5Y,"Atlas Air, Inc",5Y,Domestic,US,Freighter,Wide Body,Boeing,767,19,5168000,2012,12
10183,SkyWest Airlines,OO,United Airlines - Pre 07/01/2013,UA,Domestic,US,Passenger,Turbo Prop,Embraer,EMB,1614,41641200,2012,12
10184,Ameriflight,A8,Ameriflight,A8,Domestic,US,Freighter,Turbo Prop,Fairchild,SA-227,29,406000,2012,12
10185,China Airlines,CI,China Airlines,CI,International,Asia,Passenger,Wide Body,Boeing,747,31,19530000,2012,12
10186,Cathay Pacific,CX,Cathay Pacific,CX,International,Asia,Passenger,Wide Body,Boeing,777,31,17143000,2012,12
10187,Cathay Pacific,CX,Cathay Pacific,CX,International,Asia,Freighter,Wide Body,Boeing,747,1,763000,2012,12
10188,Lufthansa German Airlines,LH,Lufthansa German Airlines,LH,International,Europe,Passenger,Wide Body,Airbus,A340,26,14846000,2012,12
10189,SkyWest Airlines,OO,Delta Air Lines,DL,Domestic,US,Passenger,Regional Jet,Bombardier,CRJ,306,22980600,2012,12
10190,Lufthansa German Airlines,LH,Lufthansa German Airlines,LH,International,Europe,Passenger,Wide Body,Airbus,A380,22,18964000,2012,12
10191,SkyWest Airlines,OO,Delta Air Lines,DL,Domestic,US,Passenger,Regional Jet,Bombardier,CRJ,11,737000,2012,12
10192,SkyWest Airlines,OO,United Airlines - Pre 07/01/2013,UA,International,Canada,Passenger,Regional Jet,Bombardier,CRJ,138,9246000,2012,12
10193,SkyWest Airlines,OO,United Airlines - Pre 07/01/2013,UA,Domestic,US,Passenger,Regional Jet,Bombardier,CRJ,848,56816000,2012,12
10194,SkyWest Airlines,OO,United Airlines - Pre 07/01/2013,UA,International,Canada,Passenger,Regional Jet,Bombardier,CL600,61,2867000,2012,12
10195,Air China,CA,Air China,CA,International,Asia,Combi,Wide Body,Boeing,747,31,19530000,2012,12
10196,SkyWest Airlines,OO,United Airlines - Pre 07/01/2013,UA,Domestic,US,Passenger,Regional Jet,Bombardier,CL600,1393,65471000,2012,12
10197,Cathay Pacific,CX,Cathay Pacific,CX,International,Asia,Passenger,Wide Body,Boeing,747,31,19530000,2012,12
10198,British Airways,BA,British Airways,BA,International,Europe,Passenger,Wide Body,Boeing,747,46,28980000,2012,12
10199,Asiana Airlines,OZ,Asiana Airlines,OZ,International,Asia,Freighter,Wide Body,Boeing,747,16,10488000,2012,12
10200,Nippon Cargo Airlines,KZ,Nippon Cargo Airlines,KZ,International,Asia,Freighter,Wide Body,Boeing,747,19,12388000,2012,12
10201,US Airways,US,US Airways,US,Domestic,US,Passenger,Narrow Body,Airbus,A320,2,284400,2012,12
10202,United Airlines - Pre 07/01/2013,UA,United Airlines - Pre 07/01/2013,UA,Domestic,US,Passenger,Wide Body,Boeing,777,85,37825000,2012,12
10203,Philippine Airlines,PR,Philippine Airlines,PR,International,Asia,Passenger,Wide Body,Boeing,747,27,17010000,2012,12
10204,Singapore Airlines,SQ,Singapore Airlines,SQ,International,Asia,Passenger,Wide Body,Airbus,A380,4,3448000,2012,12
10205,Nippon Cargo Airlines,KZ,Nippon Cargo Airlines,KZ,International,Asia,Freighter,Wide Body,Boeing,747,4,3052000,2012,12
10206,Singapore Airlines,SQ,Singapore Airlines,SQ,International,Asia,Passenger,Wide Body,Boeing,777,58,32132000,2012,12
10207,US Airways,US,US Airways,US,Domestic,US,Passenger,Narrow Body,Airbus,A320,197,27993700,2012,12
10208,ABX Air,GB,ABX Air,GB,Domestic,US,Freighter,Wide Body,Boeing,767,19,5168000,2012,12
10209,ABX Air,GB,ABX Air,GB,Domestic,US,Freighter,Wide Body,Boeing,767,1,320000,2012,12
10211,Aeromexico,AM,Aeromexico,AM,International,Mexico,Passenger,Narrow Body,Boeing,737,31,3968000,2012,12
10212,Air Canada,AC,Air Canada,AC,International,Canada,Passenger,Wide Body,Boeing,767,1,319900,2012,12
10213,Air Canada,AC,Air Canada,AC,International,Canada,Passenger,Narrow Body,Airbus,A319,1,137800,2012,12
10214,Cathay Pacific,CX,Cathay Pacific,CX,International,Asia,Freighter,Wide Body,Boeing,747,6,3996000,2012,12
10215,Virgin America,VX,Virgin America,VX,Domestic,US,Passenger,Narrow Body,Airbus,A320,1039,148057887,2012,12
10216,Philippine Airlines,PR,Philippine Airlines,PR,International,Asia,Passenger,Wide Body,Airbus,A340,4,1675496,2012,12
10217,Air Canada,AC,Air Canada,AC,International,Canada,Passenger,Narrow Body,Airbus,A319,64,8608000,2012,12
10218,Asiana Airlines,OZ,Asiana Airlines,OZ,International,Asia,Passenger,Wide Body,Boeing,777,31,14260000,2012,12
10219,Air Canada,AC,Air Canada,AC,International,Canada,Passenger,Narrow Body,Airbus,A320,40,5688000,2012,12
10220,Air Canada,AC,Air Canada,AC,International,Canada,Passenger,Narrow Body,Airbus,A320,4,568800,2012,12
10221,Air Canada,AC,Air Canada,AC,International,Canada,Passenger,Narrow Body,Airbus,A321,2,343000,2012,12
10222,Air Canada,AC,Air Canada,AC,International,Canada,Passenger,Regional Jet,Embraer,ERJ,80,7760000,2012,12
10223,US Airways,US,US Airways,US,Domestic,US,Passenger,Narrow Body,Airbus,A319,4,550800,2012,12
10224,Air Cargo Carriers,2Q,Air Cargo Carriers,2Q,Domestic,US,Freighter,Turbo Prop,Shorts,SD3,20,520000,2012,12
10225,Sun Country Airlines,SY,Sun Country Airlines,SY,Domestic,US,Passenger,Narrow Body,Boeing,737,18,2632500,2012,12
10226,Virgin America,VX,Virgin America,VX,Domestic,US,Passenger,Narrow Body,Airbus,A319,381,52496847,2012,12
10227,Sun Country Airlines,SY,Sun Country Airlines,SY,Domestic,US,Passenger,Narrow Body,Boeing,737,20,2584000,2012,12
10228,Lufthansa German Airlines,LH,Lufthansa German Airlines,LH,International,Europe,Passenger,Wide Body,Airbus,A340,28,15988000,2012,11
10229,ABX Air,GB,ABX Air,GB,Domestic,US,Freighter,Wide Body,Boeing,767,22,5984000,2012,11
10230,Aeromexico,AM,Aeromexico,AM,International,Mexico,Passenger,Narrow Body,Boeing,737,30,3840000,2012,11
10231,Air Canada,AC,Air Canada,AC,International,Canada,Passenger,Narrow Body,Airbus,A319,2,275600,2012,11
10232,Air Canada,AC,Air Canada,AC,International,Canada,Passenger,Narrow Body,Airbus,A319,62,8339000,2012,11
10233,Air Canada,AC,Air Canada,AC,International,Canada,Passenger,Narrow Body,Airbus,A320,45,6399000,2012,11
10234,Air Canada,AC,Air Canada,AC,International,Canada,Passenger,Narrow Body,Airbus,A320,4,568800,2012,11
10235,Air Canada,AC,Air Canada,AC,International,Canada,Passenger,Regional Jet,Embraer,ERJ,83,8051000,2012,11
10236,Air Cargo Carriers,2Q,Air Cargo Carriers,2Q,Domestic,US,Freighter,Turbo Prop,Shorts,SD3,22,572000,2012,11
10237,Air China,CA,Air China,CA,International,Asia,Combi,Wide Body,Boeing,747,30,18900000,2012,11
10238,Air China,CA,Air China,CA,International,Asia,Passenger,Wide Body,Boeing,777,1,553994,2012,11
10239,Air France,AF,Air France,AF,International,Europe,Passenger,Wide Body,Boeing,777,27,12422700,2012,11
10240,Air New Zealand,NZ,Air New Zealand,NZ,International,Australia / Oceania,Passenger,Wide Body,Boeing,747,22,13860000,2012,11
10241,Air New Zealand,NZ,Air New Zealand,NZ,International,Australia / Oceania,Passenger,Wide Body,Boeing,777,4,1880000,2012,11
10242,AirTran Airways,FL,AirTran Airways,FL,Domestic,US,Passenger,Narrow Body,Boeing,737,85,10880000,2012,11
10243,Alaska Airlines,AS,Alaska Airlines,AS,Domestic,US,Passenger,Narrow Body,Boeing,737,197,23837000,2012,11
10244,Alaska Airlines,AS,Alaska Airlines,AS,International,Mexico,Passenger,Narrow Body,Boeing,737,25,3025000,2012,11
10245,Alaska Airlines,AS,Alaska Airlines,AS,Domestic,US,Passenger,Narrow Body,Boeing,737,64,8268800,2012,11
10246,Alaska Airlines,AS,Alaska Airlines,AS,International,Mexico,Passenger,Narrow Body,Boeing,737,4,516800,2012,11
10247,Alaska Airlines,AS,Alaska Airlines,AS,Domestic,US,Passenger,Narrow Body,Boeing,737,26,3744000,2012,11
10248,Alaska Airlines,AS,Alaska Airlines,AS,International,Mexico,Passenger,Narrow Body,Boeing,737,1,144000,2012,11
10249,Alaska Airlines,AS,Alaska Airlines,AS,Domestic,US,Passenger,Narrow Body,Boeing,737,46,6729800,2012,11
10250,Alaska Airlines,AS,Alaska Airlines,AS,International,Mexico,Passenger,Narrow Body,Boeing,737,26,3803800,2012,11
10251,Alaska Airlines,AS,Alaska Airlines,AS,Domestic,US,Passenger,Narrow Body,Boeing,737,1,157300,2012,11
10252,Alaska Airlines,AS,Alaska Airlines,AS,International,Mexico,Passenger,Narrow Body,Boeing,737,1,157300,2012,11
10253,All Nippon Airways,NH,All Nippon Airways,NH,International,Asia,Passenger,Wide Body,Boeing,777,30,16620000,2012,11
10254,American Airlines,AA,American Airlines,AA,Domestic,US,Passenger,Narrow Body,Boeing,737,610,87840000,2012,11
10255,American Airlines,AA,American Airlines,AA,Domestic,US,Passenger,Narrow Body,Boeing,757,73,14454000,2012,11
10256,American Airlines,AA,American Airlines,AA,Domestic,US,Passenger,Wide Body,Boeing,767,84,22680000,2012,11
10257,American Airlines,AA,American Airlines,AA,Domestic,US,Passenger,Wide Body,Boeing,767,87,26970000,2012,11
10258,Ameriflight,A8,Ameriflight,A8,Domestic,US,Freighter,Turbo Prop,Beechcraft,B-99,14,152600,2012,11
10259,Ameriflight,A8,Ameriflight,A8,Domestic,US,Freighter,Turbo Prop,Beechcraft,C-99,6,67800,2012,11
10260,Ameriflight,A8,Ameriflight,A8,Domestic,US,Freighter,Turbo Prop,Fairchild,SA-227,27,378000,2012,11
10261,Asiana Airlines,OZ,Asiana Airlines,OZ,International,Asia,Freighter,Wide Body,Boeing,747,13,8532000,2012,11
10262,Asiana Airlines,OZ,Asiana Airlines,OZ,International,Asia,Passenger,Wide Body,Boeing,777,30,13800000,2012,11
10263,"Atlas Air, Inc",5Y,"Atlas Air, Inc",5Y,Domestic,US,Freighter,Wide Body,Boeing,767,22,5984000,2012,11
10264,British Airways,BA,British Airways,BA,International,Europe,Passenger,Wide Body,Boeing,747,53,33390000,2012,11
10265,Cathay Pacific,CX,Cathay Pacific,CX,International,Asia,Passenger,Wide Body,Boeing,747,30,18900000,2012,11
10266,Cathay Pacific,CX,Cathay Pacific,CX,International,Asia,Freighter,Wide Body,Boeing,747,8,5328000,2012,11
10267,Cathay Pacific,CX,Cathay Pacific,CX,International,Asia,Freighter,Wide Body,Boeing,747,1,763000,2012,11
10268,Cathay Pacific,CX,Cathay Pacific,CX,International,Asia,Passenger,Wide Body,Boeing,777,30,16590000,2012,11
10269,China Airlines,CI,China Airlines,CI,International,Asia,Passenger,Wide Body,Boeing,747,29,18270000,2012,11
10270,China Airlines,CI,China Airlines,CI,International,Asia,Freighter,Wide Body,Boeing,747,22,14652000,2012,11
10271,Delta Air Lines,DL,Delta Air Lines,DL,Domestic,US,Passenger,Narrow Body,Boeing,737,133,19457900,2012,11
10272,Delta Air Lines,DL,Delta Air Lines,DL,Domestic,US,Passenger,Narrow Body,Boeing,757,340,67320000,2012,11
10273,Delta Air Lines,DL,Delta Air Lines,DL,Domestic,US,Passenger,Narrow Body,Boeing,757,3,672000,2012,11
10274,Delta Air Lines,DL,Delta Air Lines,DL,Domestic,US,Passenger,Wide Body,Boeing,767,29,8555000,2012,11
10275,Delta Air Lines,DL,Delta Air Lines,DL,Domestic,US,Passenger,Wide Body,Boeing,767,34,10880000,2012,11
10276,Delta Air Lines,DL,Delta Air Lines,DL,International,Asia,Passenger,Wide Body,Boeing,767,20,6400000,2012,11
10277,Delta Air Lines,DL,Delta Air Lines,DL,Domestic,US,Passenger,Wide Body,Boeing,767,1,350000,2012,11
10278,Delta Air Lines,DL,Delta Air Lines,DL,Domestic,US,Passenger,Narrow Body,Airbus,A319,11,1479291,2012,11
10279,Delta Air Lines,DL,Delta Air Lines,DL,Domestic,US,Passenger,Narrow Body,Airbus,A320,103,14646394,2012,11
10280,Delta Air Lines,DL,Delta Air Lines,DL,Domestic,US,Passenger,Wide Body,Airbus,A330,1,412600,2012,11
10281,Delta Air Lines,DL,Delta Air Lines,DL,Domestic,US,Passenger,Narrow Body,McDonnell Douglas,MD-90,38,5396000,2012,11
10282,EVA Airways,BR,EVA Airways,BR,International,Asia,Passenger,Wide Body,Boeing,747,5,3150000,2012,11
10283,EVA Airways,BR,EVA Airways,BR,International,Asia,Freighter,Wide Body,Boeing,747,7,4564000,2012,11
10284,EVA Airways,BR,EVA Airways,BR,International,Asia,Passenger,Wide Body,Boeing,777,43,23822000,2012,11
10285,Federal Express,FX,Federal Express,FX,Domestic,US,Freighter,Wide Body,Airbus,A310,18,4822200,2012,11
10286,Federal Express,FX,Federal Express,FX,Domestic,US,Freighter,Wide Body,Airbus,A310,6,1640400,2012,11
10287,Frontier Airlines,F9,Frontier Airlines,F9,Domestic,US,Passenger,Narrow Body,Airbus,A318,1,126500,2012,11
10288,Frontier Airlines,F9,Frontier Airlines,F9,Domestic,US,Passenger,Narrow Body,Airbus,A319,99,13315500,2012,11
10289,Frontier Airlines,F9,Frontier Airlines,F9,Domestic,US,Passenger,Narrow Body,Airbus,A320,24,3412752,2012,11
